id,chapter,Question,Answer
896,"Chapter 9","What actions should be taken for failed navigation and anticollision lights?","At night: Cannot dispatch / Land ASAP. During day: Failure of anticollision light does not stop flying provided fixed ASAP."
897,"Chapter 9","Describe the aeronautical light beacons at airfields.","Identification beacon (flashes code, green/red). Aerodrome beacon (homing signal, white/white or white/green)."
898,"Chapter 9","Describe a typical approach lighting arrangement for an instrument landing system (ILS) runway.","Extended centerline white lights with up to three crossbars..."
899,"Chapter 9","Describe a typical runway lighting arrangement.","Centerline: White -> Red/White -> Red. TDZ: Flush white. Edge: White -> Red/White -> Red. Threshold: Green."
900,"Chapter 9","What do you need to see to continue at the minimum decision height (MDH) for a nonprecision approach?","At least one visual reference (approach lights, threshold, markings, lights, VASI, TDZ, runway lights)."
901,"Chapter 9","What do you need to see to continue at decision height (DH) for a CAT I approach?","At least one visual reference (approach lights, threshold, markings, lights, VASI, TDZ, runway lights)."
902,"Chapter 9","What do you need to see to continue at decision height (DH) for a CAT II approach?","Visual reference containing a segment of at least three consecutive lights (centerline, TDZ, runway center/edge)."
903,"Chapter 9","What do you need to see to continue at decision height (DH) for a CAT IIIa approach?","Visual reference containing a segment of at least three consecutive lights."
904,"Chapter 9","What are VASI lights?","Visual approach slope indicator... Two-bar (red/white)... Three-bar."
905,"Chapter 9","What are PAPI lights?","Precision approach path indicator... single wing bar... four light units."
906,"Chapter 9","What does alternate red and white edge/centerline lights on a runway indicate?","The last 600 m (2000 ft) or 900 m (3000 ft) of the runway."
907,"Chapter 9","What does red only edge/centerline lights on a runway indicate?","The last 300 m (1000 ft) of the runway."
908,"Chapter 9","Describe the two types of taxiway lighting systems.","1. Green taxiway centerline lights. 2. Blue taxiway edge lights."
909,"Chapter 9","What does two or more white crosses displayed on a runway or taxiway indicate?","Indicate that the surface is unfit for movement of aircraft (closed)."
910,"Chapter 9","Describe the usual runway holding markings.","Two close parallel yellow lines, one continuous and one broken."
911,"Chapter 9","Describe the CAT II and III runway holding markings.","Yellow ladder-type marking."
912,"Chapter 9","Should you report any hazardous flight conditions?","Yes, as soon as possible (turbulence, windshear, volcanic ash, etc.)."
913,"Chapter 9","Describe flight technique in moderate/severe weather/turbulent rough air.","Ignition on, autopilot on, passenger signs on, hold attitude, autothrust off, select rough air speed."
914,"Chapter 9","How do you use weather radar information?","Use to circumnavigate (avoid) storms, not to penetrate."
915,"Chapter 9","What effect does windshear have during an approach for landing?","Increased headwind: overshoot. Decreased headwind: undershoot."
916,"Chapter 9","What indications should you look for if windshear is expected?","Indicated airspeed, temperature, and lift trends."
917,"Chapter 9","How would you fly an approach if you suspect windshear?","Increase approach speed to compensate for energy loss."
918,"Chapter 9","What is the recovery technique for windshear?","Mild: normal corrections. Severe: TOGA full-power and maximum pitch-up go-around."
919,"Chapter 9","You are flying an approach and you experience rain on the windscreen. What should you be cautious of?","Microburst."
920,"Chapter 9","How would you fly an approach if you suspected a microburst?","Do not attempt... Hold... If encountered, initiate immediate full-power (TOGA) go-around."
921,"Chapter 9","What is aquaplaning/hydroplaning?","Tire skating over the runway surface on a thin film of water."
922,"Chapter 9","What are the three types of aquaplaning/hydroplaning?","1. Dynamic 2. Viscous 3. Reverted rubber."
923,"Chapter 9","How do you calculate the aquaplaning/hydroplaning speed?","9 x sqrt(tire pressure) for takeoff, 7.6 x sqrt(tire pressure) for landing."
924,"Chapter 9","How do you control an aquaplane?","Use antiskid or manually brake (release if skid)."
925,"Chapter 9","Initially on a wet runway, what is the most effective means of stopping?","Thrust reverses."
926,"Chapter 9","What considerations should you take for taking off in icing conditions?","Deice aircraft, engine anti-ice on, avoid reverse thrust taxiing, check wings, monitor power instruments."
927,"Chapter 9","What are the two main types of anti-icing fluids used for deicing on the ground?","Type 1 (unthickened) and Type II (thickened)."
928,"Chapter 9","Describe the in-flight precautions for icing conditions.","Avoid conditions, keep probe heat on, visually check, monitor temp/moisture, use engine anti-ice."
929,"Chapter 9","In what conditions would you expect icing, and when should you turn on the engine anti-icing?","Ground: OAT +10C or lower with moisture. Flight: TAT +10C to -40C (climb/cruise) or TAT +10C (descent) with moisture."
930,"Chapter 9","When would you expect carburetor icing in a piston engine?","OAT -10C to +30C with high humidity/moisture."
931,"Chapter 9","What actions should you take to prevent or remove carburetor/throttle icing?","Use carburetor heat."
932,"Chapter 9","What are the hazards associated with flying in a region of volcanic ash?","Engine flameout (due to ash buildup and air starvation)."
933,"Chapter 9","What procedures would you adopt when fiying in a region of volcanic ash?","1. 180-degree turn away. 2. Select all engine high-bleed systems on. 3. APU on."
934,"Chapter 10","What should your sleep pattern be before a flight?","A pilot should manage his or her sleep pattern so that he or she awakes from a sleep a few hours before he or she is to report for duty so that he or she arrives for the flight fresh and awake."
935,"Chapter 10","What causes fatigue?","Fatigue is caused by (1) the lack of sleep and (2) overwork/stress."
936,"Chapter 10","What are the consequences of fatigue?","Fatigue causes 1. An increase in a pilot's response time 2. Impaired judgment 3. An increase in the possibility of human error."
937,"Chapter 10","What is hypoxia?","Hypoxia is a human condition that occurs when the oxygen supply available to the human tissues is insufficient to meet their needs, especially respiratory requirements."
938,"Chapter 10","What causes hypoxia?","Hypoxia is caused by altitude. The greater the altitude, the greater is the hypoxia, and the more rapid is its progression. This is so because respiration brings less oxygen into the body at high altitudes..."
939,"Chapter 10","How long do you have before you become unconscious from hypoxia at height?","18,000 ft: 30 minutes. 25,000 ft: 2-3 minutes. 30,000 ft: 45-74 seconds. 40,000 ft: 20 seconds. 45,000 ft: 12 seconds."
940,"Chapter 10","What are the indications/symptoms of hypoxia?","1. Cyanosis 2. Apparent personality change 3. Impaired judgment 4. Muscular impairment 5. Memory impairment 6. Sensory loss 7. Hyperventilation 8. Impairment of consciousness."
941,"Chapter 10","How do you treat hypoxia?","Increasing the individual's oxygen supply should treat hypoxia. Therefore, pilots should be familiar with the appropriate oxygen drills... above 10,000 ft."
942,"Chapter 10","What is hyperventilation?","Hyperventilation is the condition of overbreathing, i.e., in excess of the ventilation level required to remove carbon dioxide, causing changes in the acid-base balance of the body."
943,"Chapter 10","What causes hyperventilation?","1. Hypoxia 2. Anxiety 3. Motion sickness 4. Vibration 5. Heat 6. High g force."
944,"Chapter 10","What are the indications/symptoms of hyperventilation?","1. Dizziness 2. Tingling sensation 3. Visual disturbances 4. Hot or cold feelings 5. Anxiety 6. Impaired performance 7. Loss of consciousness."
945,"Chapter 10","How do you treat hyperventilation?","Below 10,000 ft: Regulate rate and depth of respiration (e.g., breathe into a paper bag). Above 10,000 ft: Treat as hypoxia (give oxygen)."
